Ente;Exercicio;Funcao;Referencia;PercentualLRF;IndicadorEducacaoApurado;DespesaEducacaoApurado
PETROPOLIS;2024;Educação;6º Bimestre;26.89;;
MACUCO;2024;Educação;6º Bimestre;25.26;;
SANTO ANTONIO DE PADUA;2024;Educação;6º Bimestre;25.26;;
MESQUITA;2024;Educação;6º Bimestre;38.84;;
SAO JOAO DE MERITI;2024;Educação;6º Bimestre;23.48;;
MIRACEMA;2024;Educação;6º Bimestre;29.46;;
ITABORAI;2024;Educação;6º Bimestre;29.96;;
BOM JARDIM;2024;Educação;6º Bimestre;26.83;;
VALENCA;2024;Educação;6º Bimestre;34.11;;
QUISSAMA;2024;Educação;6º Bimestre;28.8;;
NOVA FRIBURGO;2024;Educação;6º Bimestre;28.87;;
LAJE DO MURIAE;2024;Educação;6º Bimestre;34.84;;
SAO GONCALO;2024;Educação;6º Bimestre;27.35;;
CAMPOS DOS GOYTACAZES;2024;Educação;6º Bimestre;26.14;;
PATY DO ALFERES;2024;Educação;6º Bimestre;27.51;;
PARATY;2024;Educação;6º Bimestre;25.5;;
AREAL;2024;Educação;6º Bimestre;25.3;;
CARMO;2024;Educação;6º Bimestre;27.38;;
CARDOSO MOREIRA;2024;Educação;6º Bimestre;28.1;;
MENDES;2024;Educação;6º Bimestre;29.28;;
SAPUCAIA;2024;Educação;6º Bimestre;25.96;;
RESENDE;2024;Educação;6º Bimestre;29.37;;
SAO FRANCISCO DE ITABAPOANA;2024;Educação;6º Bimestre;25.41;;
QUEIMADOS;2024;Educação;6º Bimestre;25.68;;
ANGRA DOS REIS;2024;Educação;6º Bimestre;27.0;;
DUQUE DE CAXIAS;2024;Educação;6º Bimestre;28.26;;
SILVA JARDIM;2024;Educação;6º Bimestre;28.64;;
BARRA MANSA;2025;Educação;;26.04;;
MIGUEL PEREIRA;2025;Educação;;24.92;;
SANTA MARIA MADALENA;2025;Educação;;29.58;;
PORTO REAL;2025;Educação;;24.49;;
DUAS BARRAS;2025;Educação;;26.07;;
QUATIS;2025;Educação;;19.06;;
PORCIUNCULA;2025;Educação;;27.32;;
TERESOPOLIS;2025;Educação;;19.72;;
ARRAIAL DO CABO;2025;Educação;;26.14;;
CARAPEBUS;2025;Educação;;22.59;;
MARICA;2025;Educação;;24.02;;
SAO JOSE DO VALE DO RIO PRETO;2025;Educação;;23.89;;
PETROPOLIS;2025;Educação;;27.08;;
SAO SEBASTIAO DO ALTO;2025;Educação;;23.89;;
ITAPERUNA;2025;Educação;;26.5;;
